,ec_num,ph_min,ph_max,comments,organism,uniprot_id,ref,substrates,products,notes,reaction_type,substrates_rev,condition,to_fix,notes.1,subst_str,rxn_type_guess,all_substrates,name
117,1.1.1.22,4,11,"half-maximal activity at about pH 7.0 and pH 9.5, maximal activity at pH 8.0",Sphingomonas sanxanigenens,W0A856,739891,UDP-alpha-D-glucose + 2 NAD+ + H2O,UDP-alpha-D-glucuronate + 2 NADH + 2 H+,,,,,,,UDP-alpha-D-glucose + 2 NAD+ + H2O,oxidation,"{'H2O', 'NAD+', 'UDP-alpha-D-glucose'}",UDP-glucose 6-dehydrogenase
194,1.1.1.42,6.5,9,"pH 6.5: about 60% of maximal activity, pH 9.0: about 70% of maximal activity, isoenzyme IDP1",Mus musculus,O88844,684709,isocitrate + NADP+,2-oxoglutarate + CO2 + NADPH + H+,,,,,,,isocitrate + NADP+,oxidation,"{'NADP+', 'isocitrate'}",isocitrate dehydrogenase (NADP+)
3752,1.1.1.107,8.6,10,"pH 8.6: 66% of maximal activity, pH 10.0: 57% of maximal activity, 50 mM CHES-NaOH buffer",Mesorhizobium loti,Q988B7,667329,pyridoxal + NAD+,4-pyridoxolactone + NADH + H+,,,,,,,pyridoxal + NAD+,oxidation,"{'NAD+', 'pyridoxal'}",pyridoxal 4-dehydrogenase
33,1.1.1.140,2.5,5.5,"pH 2.5: about 40% of maximal activity, pH 5.5: about 45% of maximal activity",Haloarcula marismortui,AAV45891.1,762584,D-fructose 6-phosphate + NADH + H+,D-sorbitol 6-phosphate + NAD+,,,,,,,D-fructose 6-phosphate + NADH + H+,reduction,"{'D-fructose 6-phosphate', 'NADH', 'H+'}",sorbitol-6-phosphate 2-dehydrogenase
3762,1.1.1.153,5.5,7.4,"pH 5.5: optimum, pH 7.4: in 50 mM Tris-HCl buffer about 80% of maximum activity observed",Rattus norvegicus,P18297,286015,"6-(S)-lactoyl-7,8-dihydropterin + NADPH","6-(L-erythro-1',2'-dihydroxypropyl)-7,8-dihydropterin + NADP+",,,,,,,"6-(S)-lactoyl-7,8-dihydropterin + NADPH",reduction,"{'6-(S)-lactoyl-7,8-dihydropterin', 'NADPH'}","sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming)"
161,1.1.1.325,2.5,12,"activity range, profile overview, recombinant His-tagged enzyme, over 50% of maximal activity at pH 3.0-11.0",Musca domestica,A0A172EJV6,739887,sepiapterin + NADPH + H+,tetrahydrobiopterin + NADP+,,,,,,,sepiapterin + NADPH + H+,reduction,"{'sepiapterin', 'H+', 'NADPH'}","sepiapterin reductase (L-threo-7,8-dihydrobiopterin forming)"
167,1.1.1.358,5.5,8.5,over 40% of maximal activity within this range,Candida dubliniensis,B9WJQ5,761008,2-dehydropantolactone + NADPH + H+,(R)-pantolactone + NADP+,,,,,,,2-dehydropantolactone + NADPH + H+,reduction,"{'2-dehydropantolactone', 'H+', 'NADPH'}",2-dehydropantolactone reductase
3836,1.1.1.39,5.8,7.6,"pH 5.8: about 60% of maximal activity, pH 7.6: about 40% of maximal activity",Solanum tuberosum,P37221,286701,malate + NAD+,pyruvate + CO2 + NADH + H+,,,,,,,malate + NAD+,oxidation,"{'NAD+', 'malate'}",malate dehydrogenase (decarboxylating)
3837,1.1.1.39,5.8,7.6,"pH 5.8: about 60% of maximal activity, pH 7.6: about 40% of maximal activity",Solanum tuberosum,P37225,286701,malate + NAD+,pyruvate + CO2 + NADH + H+,,,,,,,malate + NAD+,oxidation,"{'NAD+', 'malate'}",malate dehydrogenase (decarboxylating)
3818,1.1.1.284,6.5,9.5,"pH 6.5: about 70% of maximal activity, pH 9.5: about 80% of maximal activity",Homo sapiens,P11766,287866,formaldehyde + glutathione + NAD+,S-formylglutathione + NADH + H+,,,,,,,formaldehyde + glutathione + NAD+,oxidation,"{'NAD+', 'glutathione', 'formaldehyde'}",S-(hydroxymethyl)glutathione dehydrogenase
3819,1.1.1.284,6.8,9.3,"pH 6.8: about 80% of maximal activity, pH 9.3: about 90% of maximal activity",Rattus norvegicus,P12711,287866,formaldehyde + glutathione + NAD+,S-formylglutathione + NADH + H+,,,,,,,formaldehyde + glutathione + NAD+,oxidation,"{'NAD+', 'glutathione', 'formaldehyde'}",S-(hydroxymethyl)glutathione dehydrogenase
143,1.1.1.298,6.5,8.5,half-maximal activity at pH 6.5 and pH 8.5,Chloroflexus aurantiacus,Q6QQP7,725583,malonate semialdehyde + NADPH + H+,3-hydroxypropionate + NADP+,,,,,,,malonate semialdehyde + NADPH + H+,reduction,"{'malonate semialdehyde', 'H+', 'NADPH'}",3-hydroxypropionate dehydrogenase (NADP+)
145,1.1.1.3,7,9.5,BsHSD is maximally active in L-HSE oxidation at pH 9.0 and is the least active at pH 7.0 with only 1.1% of the maximal activity,Bacillus subtilis,P19582,761687,L-homoserine + NADP+,L-aspartate 4-semialdehyde + NADPH + H+,,,,,,,L-homoserine + NADP+,oxidation,"{'L-homoserine', 'NADP+'}",homoserine dehydrogenase
3944,1.11.1.1,5,8.5,"90% of maximal activity at pH 5.0, 32% of maximal activity at pH 8.5",Enterococcus faecalis,P37062,395327,NADH + H2O2,NAD+ + H2O,,,,,,,NADH + H2O2,reduction,"{'NADH', 'H2O2'}",NADH peroxidase
360,1.11.1.11,5,9,"pH 5.0: 68% of maximal activity, pH 9.0: 23% of maximal activity",Populus tomentosa,Q5S1V5,688913,L-ascorbate + H2O2,dehydroascorbate + H2O,,,,,,,L-ascorbate + H2O2,reduction,"{'H2O2', 'L-ascorbate'}",L-ascorbate peroxidase
4079,1.14.19.67,6.5,8.5,about 50% of maximal activity at pH 6.5 and pH 8.5,Papaver somniferum,B1NF18,393875,(R)-reticuline + [reduced NADPH-hemoprotein reductase] + O2,salutaridine + [oxidized NADPH-hemoprotein reductase] + H2O,,,,,,,(R)-reticuline + [reduced NADPH-hemoprotein reductase] + O2,oxidation,"{'[reduced NADPH-hemoprotein reductase]', '(R)-reticuline', 'O2'}",salutaridine synthase
576,1.14.20.13,5,-,20% of maximum activity,Anisodus tanguticus,Q6V0J1,746164,(6S)-6beta-hydroxyhyoscyamine + 2-oxoglutarate + O2,scopolamine + succinate + CO2 + H2O,,,,,,,(6S)-6beta-hydroxyhyoscyamine + 2-oxoglutarate + O2,oxidation,"{'(6S)-6beta-hydroxyhyoscyamine', 'O2', '2-oxoglutarate'}",6beta-hydroxyhyoscyamine epoxidase
600,1.15.1.1,3,7,high activity range,Sonneratia alba,A0A0U1X631,745116,2 superoxide + 2 H+,O2 + H2O2,,,,,,,2 superoxide + 2 H+,not_found,"{'H+', 'superoxide'}",superoxide dismutase
598,1.15.1.1,1,11,"activity range, 75% of maximal activity at pH 1.0, 45% at pH 11.0, profile overview",Rhodotorula mucilaginosa,A0A1L5JYH9,745228,2 superoxide + 2 H+,O2 + H2O2,,,,,,,2 superoxide + 2 H+,not_found,"{'H+', 'superoxide'}",superoxide dismutase
618,1.15.1.1,7,12,over 70% of maximal activity within this range,Burkholderia pseudomallei,A3NS93,728111,2 O2.- + 2 H+,O2 + H2O2,,,,,,,2 O2.- + 2 H+,not_found,"{'O2.-', 'H+'}",superoxide dismutase
4069,1.14.18.2,5.6,6.8,about 60% of maximal activity at pH 5.6 and pH 6.8,Asterias rubens,Q95V11,639325,CMP-N-acetylneuraminate + NADH + O2,CMP-N-glycoloylneuraminate + NAD+ + H2O,,,,,,,CMP-N-acetylneuraminate + NADH + O2,oxidation_or_reduction,"{'CMP-N-acetylneuraminate', 'NADH', 'O2'}",CMP-N-acetylneuraminate monooxygenase
4052,1.14.14.98,6.3,8.5,"pH 6.3: about 35% of maximal activity, pH 8.5: about 40% of maximal activity",Eschscholzia californica,F2Z9C1,7391,protopine + [reduced NADPH-hemoprotein reductase] + O2,dihydrosanguinarine + [oxidized NADPH-hemoprotein reductase] + H2O,,,,,,,protopine + [reduced NADPH-hemoprotein reductase] + O2,oxidation,"{'[reduced NADPH-hemoprotein reductase]', 'O2', 'protopine'}",protopine 6-monooxygenase
4060,1.14.16.2,5.5,6.8,"pH 5.0: less than 5% of maximal activity, pH 5.5-6.0: optimum, pH 6.8: about 30% of maximal activity, striatal homogenate",Rattus norvegicus,P04177,660008,"L-Tyr + DL-6-methyl-5,6,7,8-tetrahydropterin + O2",?,,,,,,,"L-Tyr + DL-6-methyl-5,6,7,8-tetrahydropterin + O2",oxidation,"{'DL-6-methyl-5,6,7,8-tetrahydropterin', 'L-Tyr', 'O2'}",tyrosine 3-monooxygenase
4066,1.14.16.5,7.5,9.5,"pH 7.5: about 40% of maximal activity, pH 9.5: about 75% of maximal activity",Rattus norvegicus,A0JPQ8,438640,hexadecylglycerol + tetrahydrobiopterin + O2,hexadecanal + glycerol + dihydrobiopterin + H2O,,,,,,,hexadecylglycerol + tetrahydrobiopterin + O2,oxidation,"{'O2', 'hexadecylglycerol', 'tetrahydrobiopterin'}",alkylglycerol monooxygenase
619,1.15.1.1,8,10.5,50% of maximal activity at pH 8.0 and pH 10.5,Laternula elliptica,C7DRQ4,703779,2 O2.- + 2 H+,O2 + H2O2,,,,,,,2 O2.- + 2 H+,not_found,"{'O2.-', 'H+'}",superoxide dismutase
606,1.15.1.1,5,10,"about 70% of maximal activity within this range, 10% at pH 4.0, 40% at pH 11.0",Pisum sativum,P11964,744591,2 superoxide + 2 H+,O2 + H2O2,,,,,,,2 superoxide + 2 H+,not_found,"{'H+', 'superoxide'}",superoxide dismutase
599,1.15.1.1,2.2,11.2,high enzyme activity,Danio rerio,Q2TV65,703778,2 O2.- + 2 H+,O2 + H2O2,,,,,,,2 O2.- + 2 H+,not_found,"{'O2.-', 'H+'}",superoxide dismutase
654,1.2.1.12,8,10.5,"over 40% of maximal activity within this range, profile overview",Escherichia coli,P0A9B2,762579,D-glyceraldehyde 3-phosphate + phosphate + NAD+,3-phospho-D-glyceroyl phosphate + NADH + H+,,,,,,,D-glyceraldehyde 3-phosphate + phosphate + NAD+,oxidation,"{'D-glyceraldehyde 3-phosphate', 'phosphate', 'NAD+'}",glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
641,1.17.1.9,6,10,more than 50% activity between pH 6.0 and 10.0,[Candida] boidinii,O13437,740397,formate + NAD+,CO2 + NADH + H+,,,,,,,formate + NAD+,oxidation,"{'NAD+', 'formate'}",formate dehydrogenase
4101,1.17.98.4,6.5,9.7,"pH 6.5: about 40% of maximal activity, pH 9.7: about 40% of maximal activity",Escherichia coli,P07658,"698686, 701023",formate + benzyl viologen,CO2 + reduced benzyl viologen,,,,,,,formate + benzyl viologen,not_found,"{'benzyl viologen', 'formate'}",formate dehydrogenase (hydrogenase)
3976,1.13.11.27,6,9.5,"pH 6.0: about 55% of maximal activity, pH 9.5: about 50% of maximal activity",Pseudomonas sp.,P80064,395375,4-hydroxyphenylpyruvate + O2,homogentisate + CO2,,,,,,,4-hydroxyphenylpyruvate + O2,oxidation,"{'O2', '4-hydroxyphenylpyruvate'}",4-hydroxyphenylpyruvate dioxygenase
428,1.13.11.3,5.5,8.5,the enzyme shows more than 50% activity between pH 5.5 and 8.5,Rhizobium sp. LMB-1,A0A193DXA9,741660,"3,4-dihydroxybenzoate + O2","3-carboxy-cis,cis-muconate",,,,,,,"3,4-dihydroxybenzoate + O2",oxidation,"{'3,4-dihydroxybenzoate', 'O2'}","protocatechuate 3,4-dioxygenase"
6404,1.13.11.3,5.5,8.5,the enzyme shows more than 50% activity between pH 5.5 and 8.5,Rhizobium sp. LMB-1,A0A193DXP2,741660,"3,4-dihydroxybenzoate + O2","3-carboxy-cis,cis-muconate",,,,,,,"3,4-dihydroxybenzoate + O2",oxidation,"{'3,4-dihydroxybenzoate', 'O2'}","protocatechuate 3,4-dioxygenase"
3977,1.13.11.34,7,9,"pH 7.0: 66% of maximal activity, pH 9.0: about 60% of maximal activity",Rattus norvegicus,P12527,439449,arachidonate + O2,"(6E,8Z,11Z,14Z)-(5S)-hydroperoxyicosa-6,8,11,14-tetraenoate",,,,,,,arachidonate + O2,oxidation,"{'O2', 'arachidonate'}",arachidonate 5-lipoxygenase
450,1.13.11.58,8,9,"pH 8: 30% of optimal activity, pH 9: about 15% of maximal activity",Solanum lycopersicum,P38415,705464,linoleate + O2,"(9S,10E,12Z)-9-hydroperoxy-10,12-octadecadienoate",,,,,,,linoleate + O2,oxidation,"{'linoleate', 'O2'}",linoleate 9S-lipoxygenase
3985,1.13.11.6,4.5,7,"at pH 4.5: about 70% of activity maximum, at pH 7.0: about 50% of activity maximum",Rattus norvegicus,P46953,439366,2-amino-3-hydroxybenzoic acid + O2,"2,3-pyridinedicarboxylic acid + H2O",,,,,,,2-amino-3-hydroxybenzoic acid + O2,oxidation,"{'2-amino-3-hydroxybenzoic acid', 'O2'}","3-hydroxyanthranilate 3,4-dioxygenase"
4038,1.14.14.18,6.5,7.9,"pH 6.5: 63% activity, pH 7.9: 50% activity",Gallus gallus,P14791,438245,heme + 2 NADPH + 2 H+ + 2 O2,biliverdin + Fe2+ + CO + 2 NADP+ + H2O,,,,,,,heme + 2 NADPH + 2 H+ + 2 O2,oxidation_or_reduction,"{'heme', 'H+', 'O2', 'NADPH'}",heme oxygenase (biliverdin-producing)
384,1.11.1.27,6,10,"about 40% activity at pH 6.0, 100% activity at pH 7.0, about 90% activity at pH 8.0, about 70% activity at pH 9.0, about 60% activity at pH 10.0",Homo sapiens,P30041,765792,2 glutathione + H2O2,glutathione disulfide + 2 H2O,,,,,,,2 glutathione + H2O2,reduction,"{'glutathione', 'H2O2'}",glutathione-dependent peroxiredoxin
388,1.11.1.6,3,12,"activity range, 53.4% of maximal activity at pH 4.0, 18.4% at pH 3.0",Psychrobacter piscatorii,A0A0T6DN91,725159,2 H2O2,O2 + 2 H2O,,,,,,,2 H2O2,reduction,{'H2O2'},catalase
392,1.11.1.6,4.5,10.5,above 90% of maximum activity,Haliotis discus discus,A5XB38,686832,H2O2,O2 + H2O,,,,,,,H2O2,reduction,{'H2O2'},catalase
405,1.11.1.9,7.4,-,"26% of maximum activity, mutant C2S/C78S/C115S/C156S/C202S",Homo sapiens,P07203,742715,2 glutathione + H2O2,glutathione disulfide + 2 H2O,,,,,,,2 glutathione + H2O2,reduction,"{'glutathione', 'H2O2'}",glutathione peroxidase
416,1.13.11.1,7,11.5,"pH 7.0: about 70% of maximal activity, pH 11.5: about 75% of maximal activity",Stutzerimonas stutzeri,A0A6A9R3Z2,764738,catechol + O2,"cis,cis-muconate",,,,,,,catechol + O2,oxidation,"{'O2', 'catechol'}","catechol 1,2-dioxygenase"
465,1.13.11.B6,4.5,7,"pH 4.5: about 45% of maximal activity, pH 7.0: about 55% of maximal activity",Solanum tuberosum,Q9SC16,396190,linoleate + O2,"(10E,12Z)-9-hydroperoxy-10,12-octadecadienoate + (9Z,11E)-13-hydroperoxy-9,11-octadecadienoate",,,,,,,linoleate + O2,oxidation,"{'linoleate', 'O2'}",linoleate 9/13-lipoxygenase
4026,1.14.13.9,7.1,8.9,about 50% of maximal activity at pH 7.1 and 8.9,Saccharomyces cerevisiae,P38169,348520,L-kynurenine + NADPH + O2,3-hydroxy-L-kynurenine + NADP+ + H2O,,,,,,,L-kynurenine + NADPH + O2,oxidation_or_reduction,"{'L-kynurenine', 'O2', 'NADPH'}",kynurenine 3-monooxygenase
529,1.14.13.B34,6,10,"40% of maximal activity at pH 6.0, 60% at pH 10.0",Pseudomonas sp. NCIM 5235,A0A2U9IY48,763990,7-methylxanthine + O2 + NAD(P)H + H+,xanthine + NAD(P)+ + H2O + formaldehyde,,,,,,,7-methylxanthine + O2 + NAD(P)H + H+,oxidation_or_reduction,"{'7-methylxanthine', 'NAD(P)H', 'H+', 'O2'}",N-demethylase reductase
4035,1.14.14.139,6,7.5,"pH 6.0: about 40% of maximal activity, pH 7.5: about 65% of maximal activity",Oryctolagus cuniculus,O02766,659116,7alpha-hydroxycholest-4-en-3-one + NADPH + H+ + O2,"7alpha,12alpha-dihydroxycholest-4-en-3-one + NADP+ + H2O",,,,,,,7alpha-hydroxycholest-4-en-3-one + NADPH + H+ + O2,oxidation_or_reduction,"{'7alpha-hydroxycholest-4-en-3-one', 'H+', 'O2', 'NADPH'}","5beta-cholestane-3alpha,7alpha-diol 12alpha-hydroxylase"
4036,1.14.14.15,5.5,7,"pH 5.5: about 50% of maximal activity, pH 7.0: about 50% of maximal activity",Streptomyces globisporus,Q8GMG6,725192,(3S)-3-amino-3-(3-chloro-4-hydroxyphenyl)propanoyl-[peptidyl-carrier protein SgcC2] + FADH2 + O2,"(3S)-3-amino-3-(3-chloro-4,5-dihydroxyphenyl)propanoyl-[peptidyl-carrier protein SgcC2] + FAD + H2O",,,,,,,(3S)-3-amino-3-(3-chloro-4-hydroxyphenyl)propanoyl-[peptidyl-carrier protein SgcC2] + FADH2 + O2,oxidation,"{'FADH2', 'O2', '(3S)-3-amino-3-(3-chloro-4-hydroxyphenyl)propanoyl-[peptidyl-carrier protein SgcC2]'}",(3S)-3-amino-3-(3-chloro-4-hydroxyphenyl)propanoyl-[peptidyl-carrier protein SgcC2] monooxygenase
4013,1.14.13.130,7.2,9.5,"pH 7.2: 65% of maximal activity, pH 9.5: 68% of maximal activity",Arthrobacter sp.,P37365,707605,pyrrole-2-carboxylate + NADH + H+ + O2,5-hydroxypyrrole-2-carboxylate + NAD+ + H2O,,,,,,,pyrrole-2-carboxylate + NADH + H+ + O2,oxidation_or_reduction,"{'NADH', 'H+', 'pyrrole-2-carboxylate', 'O2'}",pyrrole-2-carboxylate monooxygenase
3994,1.13.12.21,7,8,"pH 7.0: about 40% of maximal activity, pH 8.0: about 85% of maximal activity",Streptomyces glaucescens,P39889,721576,tetracenomycin F1 + O2,tetracenomycin D3 + H2O,,,,,,,tetracenomycin F1 + O2,oxidation,"{'O2', 'tetracenomycin F1'}",tetracenomycin-F1 monooxygenase
473,1.13.12.5,9,-,60% residual activity,Gaussia princeps,Q9BLZ2,765264,coelenterazine + O2,? + CO2 + hv,,,,,,,coelenterazine + O2,oxidation,"{'O2', 'coelenterazine'}",Renilla-type luciferase
479,1.13.99.1,4.5,10,"almost no activity at pH 4.5, approx. 10% of maximal ativity at pH 10.0, approx. 70% of maximal activity at pH 8.0, i.e. a second optima",Sporopachydermia lactativora,Q70GL3,660561,myo-inositol + O2,D-glucuronic acid + H2O,,,,,,,myo-inositol + O2,oxidation,"{'myo-inositol', 'O2'}",inositol oxygenase
4006,1.14.11.16,6.5,7.9,about half-maximal activity at pH 6.5 and 7.9,Bos taurus,Q28056,439259,peptide L-aspartate + 2-oxoglutarate + O2,peptide 3-hydroxy-L-aspartate + succinate + CO2,,,,,,,peptide L-aspartate + 2-oxoglutarate + O2,oxidation,"{'peptide L-aspartate', 'O2', '2-oxoglutarate'}",peptide-aspartate beta-dioxygenase
4008,1.14.11.45,5.5,7,"about 25% activity at pH 5.5 and 7.0, respectively, about 50% activity at pH 6.5",Bacillus thuringiensis,E2GIN1,741745,L-isoleucine + 2-oxoglutarate + O2,(4S)-4-hydroxy-L-isoleucine + succinate + CO2,,,,,,,L-isoleucine + 2-oxoglutarate + O2,oxidation,"{'2-oxoglutarate', 'O2', 'L-isoleucine'}",L-isoleucine 4-hydroxylase
1,1.1.1.1,4,7.5,"pH 4.0: about 80% of maximal activity, pH 7.5: about 60% of maximal activity",Candida parapsilosis,B2KJ46,684556,"{'2-hydroxyacetophenone + NADH + H+', '2-butanone + NADPH + H+', 'acetone + NADPH + H+', '2-hydroxyacetophenone + NADPH + H+', 'ethyl 4-chloroacetoacetate + NADPH', 'acetophenone + NADPH + H+', 'ethyl trifluoroacetoacetate + NADPH + H+', 'benzoylformic acid + NADPH + H+'}","{'?', '1-ethoxy-2,2,2-trifluoroethanol + NADP+', 'mandelate + NADP+', 'butan-2-ol + NADP+', '(S)-1-phenyl-1,2-ethanediol + NAD+', '1-phenylethanol + NADP+', '(S)-1-phenyl-1,2-ethanediol + NADP+', 'propan-2-ol + NADP+'}",,,,,,,"{'2-hydroxyacetophenone + NADH + H+', '2-butanone + NADPH + H+', 'acetone + NADPH + H+', '2-hydroxyacetophenone + NADPH + H+', 'ethyl 4-chloroacetoacetate + NADPH', 'acetophenone + NADPH + H+', 'ethyl trifluoroacetoacetate + NADPH + H+', 'benzoylformic acid + NADPH + H+'}",reduction,"{'2-hydroxyacetophenone', '2-butanone', 'acetophenone', 'H+', 'ethyl 4-chloroacetoacetate', 'acetone', 'NADH', 'benzoylformic acid', 'ethyl trifluoroacetoacetate', 'NADPH'}",alcohol dehydrogenase
783,1.4.3.16,8.8,12,"pH 8.8: about 50% of maximal activity, pH 12.0: about 70% of maximal activity",Sulfurisphaera tokodaii,Q972D2,721394,"{'L-aspartate + O2', 'L-aspartate + H2O + O2', 'L-asparagine + O2', 'L-asparagine + H2O + O2'}","{'iminosuccinate + H2O2', '4-amino-2-imino-4-oxobutanoate + H2O2', 'oxaloacetate + NH3 + H2O2', '4-amino-2,4-dioxobutanoate + NH3 + H2O2'}",,,,,,,"{'L-aspartate + O2', 'L-aspartate + H2O + O2', 'L-asparagine + O2', 'L-asparagine + H2O + O2'}",oxidation,"{'L-aspartate', 'H2O', 'L-asparagine', 'O2'}",L-aspartate oxidase
4256,1.4.3.19,8,11,"pH 8.0: about 55% of maximal activity, pH 11.0: about 55% of maximal activity, reaction with sarcosine",Bacillus subtilis,O31616,655429,"{'D-proline + H2O + O2', 'cyclopropylglycine + H2O + O2', 'glycine + O2 + H2O', 'glycine + O2', 'D-Pro + H2O + O2', 'D-Leu + H2O + O2', 'D-Ile + H2O + O2', 'D-Arg + H2O + O2', '2-iminoacetate + H2O', 'D-Val + H2O + O2', 'D-2-aminobutyrate + H2O + O2', 'glycine + H2O + O2', 'D-pipecolate + H2O + O2', 'N-ethylglycine + H2O + O2', 'sarcosine + H2O + O2', 'D-alanine + H2O + O2', 'D-Ala + H2O + O2', 'N-methyl-D-Ala + H2O + O2', 'D-His + H2O + O2', 'glycine-ethyl-ester + H2O + O2'}","{'pyruvate + NH3 + H2O2', '2-iminoacetate + H2O2', 'glyoxylate + ethylamine + H2O2', 'glyoxylate + NH3 + H2O2', 'glyoxylate + methylamine + H2O2', '?', '3-methyl-2-oxopentanoate + H2O2', '2-oxobutyrate + H2O2', 'glyoxylate + NH3', 'glyoxylate + H2O2 + NH3', 'pyruvate + methylamine + H2O2', '3-methyl-2-oxobutanoate + H2O2', '4-methyl-2-oxopentanoate + H2O2', '? + H2O2'}",,,,,,,"{'D-proline + H2O + O2', 'cyclopropylglycine + H2O + O2', 'glycine + O2 + H2O', 'glycine + O2', 'D-Pro + H2O + O2', 'D-Leu + H2O + O2', 'D-Ile + H2O + O2', 'D-Arg + H2O + O2', '2-iminoacetate + H2O', 'D-Val + H2O + O2', 'D-2-aminobutyrate + H2O + O2', 'glycine + H2O + O2', 'D-pipecolate + H2O + O2', 'N-ethylglycine + H2O + O2', 'sarcosine + H2O + O2', 'D-alanine + H2O + O2', 'D-Ala + H2O + O2', 'N-methyl-D-Ala + H2O + O2', 'D-His + H2O + O2', 'glycine-ethyl-ester + H2O + O2'}",oxidation,"{'D-Arg', 'D-His', '2-iminoacetate', 'D-Val', 'D-Leu', 'glycine-ethyl-ester', 'D-Pro', 'D-2-aminobutyrate', 'sarcosine', 'O2', 'D-proline', 'H2O', 'D-alanine', 'N-methyl-D-Ala', 'glycine', 'N-ethylglycine', 'D-Ile', 'cyclopropylglycine', 'D-Ala', 'D-pipecolate'}",glycine oxidase
4258,1.4.3.2,7,9,"about 55% activity at pH 7.0, about 85% activity at pH 9.0",Lachesis muta,J7H670,726520,"{'L-methionine + H2O + O2', 'L-tryptophan + H2O + O2', 'L-leucine + H2O + O2', 'L-tyrosine + H2O + O2', 'L-isoleucine + H2O + O2', 'L-phenylalanine + H2O + O2', 'L-valine + H2O + O2', 'L-arginine + H2O + O2', 'L-glutamine + H2O + O2'}","{'4-hydroxyphenylpyruvate + NH3 + H2O2', '2-oxo-5-guanidinovaleric acid + NH3 + H2O2', 'indole-3-pyruvate + NH3 + H2O2', '4-methylsulfanyl-2-oxobutanoate + NH3 + H2O2', '2-oxoisovalerate + NH3 + H2O2', '4-methyl-2-oxo-pentanoic acid + NH3 + H2O2', '2-oxoglutaramate + NH3 + H2O2', '3-methyl-2-oxopentanoate + NH3 + H2O2', 'phenylpyruvate + NH3 + H2O2'}",,,,,,,"{'L-methionine + H2O + O2', 'L-tryptophan + H2O + O2', 'L-leucine + H2O + O2', 'L-tyrosine + H2O + O2', 'L-isoleucine + H2O + O2', 'L-phenylalanine + H2O + O2', 'L-valine + H2O + O2', 'L-arginine + H2O + O2', 'L-glutamine + H2O + O2'}",oxidation,"{'H2O', 'L-tryptophan', 'L-tyrosine', 'L-arginine', 'L-glutamine', 'L-phenylalanine', 'L-isoleucine', 'L-methionine', 'L-leucine', 'L-valine', 'O2'}",L-amino-acid oxidase
792,1.4.3.25,6,10,"pH 6.0: about 15% of maximal activity, pH 10: about 35% of maximal activity, L-glutamate oxidase mutant R305E",Streptomyces sp. X-119-6,Q8L3C7,765731,"{'L-arginine + H2O + O2', 'L-glutamate + O2 + H2O'}","{'5-guanidino-2-oxopentanoate + NH3 + H2O2', '2-oxoglutarate + NH3 + H2O2'}",,,,,,,"{'L-arginine + H2O + O2', 'L-glutamate + O2 + H2O'}",oxidation,"{'H2O', 'L-glutamate', 'L-arginine', 'O2'}",L-arginine oxidase
793,1.4.3.3,6.5,11,"pH 6.5: about 75% of maximal activity, pH 11.0: about 75% of maximal activity",Cyprinus carpio,Q6TGN2,655274,"{'D-Tyr + H2O + O2', 'D-Val + H2O + O2', 'D-Phe + H2O + O2', 'D-Pro + H2O + O2', 'D-Ala + H2O + O2', 'D-Leu + H2O + O2', 'D-Lys + H2O + O2', 'D-Ser + H2O + O2', 'D-Ile + H2O + O2'}","{'4-hydroxyphenylpyruvate + NH3 + H2O2', 'pyruvate + NH3 + H2O2', '? + NH3 + H2O2', '4-methyl-2-oxopentanoate + NH3 + H2O2', '2-oxo-3-hydroxypropionate + NH3 + H2O2', '2-oxopentanoate + NH3 + H2O2', 'alpha-ketoisovalerate + NH3 + H2O2', '3-methyl-2-oxopentanoate + NH3 + H2O2', 'phenylpyruvate + NH3 + H2O2'}",,,,,,,"{'D-Tyr + H2O + O2', 'D-Val + H2O + O2', 'D-Phe + H2O + O2', 'D-Pro + H2O + O2', 'D-Ala + H2O + O2', 'D-Leu + H2O + O2', 'D-Lys + H2O + O2', 'D-Ser + H2O + O2', 'D-Ile + H2O + O2'}",oxidation,"{'H2O', 'D-Lys', 'D-Ser', 'D-Phe', 'D-Val', 'D-Tyr', 'D-Leu', 'D-Pro', 'D-Ala', 'D-Ile', 'O2'}",D-amino-acid oxidase
